project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Capacity Building and Awareness Project for In-Vitro Diagnostics for COVID-19 Management,HWG 03 2022A,2022,Health Working Group (HWG),China,Completed Project,APEC Support Fund,ASF: APEC Cooperation on Combating COVID-19 and Economic Recovery (CCER),Session 1,"86,996","24,377","111,373",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Malaysia; Peru; Thailand; Viet Nam","Westlake University, China",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14924
APEC Population Policy Forum 2026,HWG_02_2026S,2026,Health Working Group (HWG),Korea,Project in Implementation,Self-Funded,,,,,,"$110,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"Regional Economic Organisations Division, Ministry of Foreign Affairs, Republic of Korea",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16068
Effective Practices Against Counterfeit Medical Devices,IPEG_01_2026S,2026,Intellectual Property Rights Experts Group (IPEG),United States,Project in Implementation,Self-Funded,,,,,,$0.00,Intellectual Property,Committee on Trade and Investment (CTI),,Peru; Singapore,Office of the US Trade Representative,United States Patent and Trademark Office,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16067
"Experiences of Implementing Regulatory Sandboxes for Innovation in Green Energy Technologies: A Strategy for Boosting the Commercialisation of Emerging Technologies, Including Digital Innovations",PPSTI_112_2025A,2025,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Peru,Project in Implementation,APEC Support Fund,ASF: Promoting Digitalisation for Green Transitions (PDGT),Session 1,"106,775","40,000","146,775",,Science and Technology; Green Economy; Digital Technology and Innovation,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; China; Indonesia; Malaysia; Papua New Guinea; Russia; Chinese Taipei; Thailand,"Science, Technology and Innovation National Council (CONCYTEC)","Science, Technology and Innovation National Council (CONCYTEC)",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15778
Policy Dialogue on A.I. in Trade Context for Enhanced Cooperation within APEC,DESG_203_2024A,2024,Digital Economy Steering Group (DESG),Korea,Project in Implementation,APEC Support Fund,ASF: Digital Innovation,Session 2,"110,499","109,660","220,159",,Digital Economy; Digital Technology and Innovation,Committee on Trade and Investment (CTI),Committee on Trade and Investment (CTI),Australia; Chile; Japan; Malaysia; Peru; Philippines; Chinese Taipei,"Ministry of Trade, Industry and Energy","Ministry of Trade, Industry and Energy",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15612
Bridging the Innovation Divide in the Rice Sector in the APEC Region,PPFS_202_2025A,2025,Policy Partnership on Food Security (PPFS),Viet Nam,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 2,"117,741","5,214","122,955",,Food Security; Agriculture,SOM Steering Committee on Economic and Technical Cooperation (SCE),Agricultural Technical Cooperation Working Group (ATCWG),Australia; China; Korea; Mexico; Philippines; Russia; Chinese Taipei,"International Cooperation Department, Ministry of Agriculture and Environment","International Cooperation Department, Ministry of Agriculture and Environment",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15997
"Conversion of coal-fired power plants using Energy Storage System: experiences, challenges, and opportunities",EWG_206_2023A,2023,Energy Working Group (EWG),Chile,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"96,905","5,500","102,405",,Energy; Digital Economy; Environment,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Canada; Hong Kong, China; Korea; United States","Ministry of Energy, Chile","Ministry of Energy, Chile",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15323
Workshop on the Role of Standards in Reducing Food Loss and Waste and Promoting Sustainable Economic Growth,SCSC_01_2025S,2025,Sub-Committee on Standards and Conformance (SCSC),China,Completed Project,Self-Funded,,,,,,"$56,013.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,,China National Institute of Standardisation,China National Institute of Standardisation,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15719
Capacity building to tackle marine debris problems in blue carbon ecosystems for socioeconomic benefits and sustainable coastal zones in APEC economies,OFWG_205_2025A,2025,Oceans and Fisheries Working Group (OFWG),China,Project in Implementation,APEC Support Fund,ASF: Marine Debris Management and Innovation (MDMI),Session 2,"100,000",0,"100,000",,Environment; Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Thailand",Zhejiang University,"Third Institute of Oceanography, Ministry of Natural Resources",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15918
Impact of the Electronic Bill of Lading on the Expedited Clearance of Goods: Implications for Foreign Trade Operators,SCCP_203_2025A,2025,Sub-Committee on Customs Procedures (SCCP),Peru,Project in Implementation,APEC Support Fund,ASF: Digital Innovation,Session 2,"141,267",0,"141,267",,Customs; Digital Technology and Innovation; Trade Facilitation,Committee on Trade and Investment (CTI),,"Hong Kong, China; Japan; Korea; Malaysia; Mexico; New Zealand; United States",Ministry of Foreign Trade and Tourism,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15985
APEC Workshop on Promoting Biomass Energy for Rural and Remote Area Development,EWG_203_2023A,2023,Energy Working Group (EWG),Viet Nam,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"100,000","12,000","112,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Japan; Philippines; Chinese Taipei; United States,"Ministry of Industry and Trade, Viet Nam",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15315
Promoting Decarbonization of Power Sector by Using Carbon-Free Energy (CFE),EWG_210_2023A,2023,Energy Working Group (EWG),Korea,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"99,904","100,000","199,904",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Japan; Singapore; Thailand; United States; Viet Nam,Korea Energy Economics Institute,"Ministry of Trade, Industry and Energy / Korea Energy Economics Institute",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15320
"Engaging Micro, Small and Medium Enterprises in International Standards Development",SCSC_02_2024S,2024,Sub-Committee on Standards and Conformance (SCSC),Canada,Completed Project,Self-Funded,,,,,,$0.00,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; China; Korea; Malaysia; New Zealand; Peru; United States,Standards Council of Canada,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15416
Combatting Online Fraud and Scams,DESG_01_2026S,2026,Digital Economy Steering Group (DESG),Australia,Project in Implementation,Self-Funded,,,,,,$0.00,Digital Economy; Digital Technology and Innovation,Committee on Trade and Investment (CTI),,Indonesia; Singapore; United States,Australia Department of Foreign Affairs and Trade,National Center for APEC,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16065
Tackling Food Security Issues through Public-Private Partnership Venture Capital Investment,PPFS_02_2026S,2026,Policy Partnership on Food Security (PPFS),Australia,Project in Implementation,Self-Funded,,,,,,$0.00,Food Security,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Artesian Venture Partners,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16064
APEC Population Aging and Environmental Health Policy Dialogue,HWG_01_2026S,2026,Health Working Group (HWG),China,Project in Implementation,Self-Funded,,,,,,"$20,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Korea",APEC Health Science Academy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16063
